USA-ORL
USA-COO,USA-SEA,USA-POR
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DAL
USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-REN,USA-OMA,USA-LIT,USA-LEK
USA-NEO,USA-NYM,USA-SLT
USA-PIT
USA-ATL
USA-ANC,USA-ABU,USA-VIR
USA-CHI
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DET
USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-DEN
USA-PHI
USA-OKL
USA-BOI,USA-BIR
USA-BOS
USA-PHX
