USA-MIW,USA-BIR,USA-RON,USA-NAS
USA-CRS,USA-CTN
USA-DAL
USA-COO
USA-DEN
USA-BOI,USA-ANC
USA-CHI
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-BOS
USA-POR,USA-SAN
USA-DET
USA-HOU,USA-PHI
USA-NEO,USA-SLT
USA-ORL
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-NYM
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-SEA,USA-SAT,USA-LAX
USA-ATL
USA-PHX,USA-AUT
