USA-LAX,USA-SAN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-COO,USA-SEA,USA-POR
USA-DEN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-BOI,USA-ANC
USA-HOU,USA-PHI
USA-JAF,USA-KAN,USA-OKL
USA-DET
USA-LIN
USA-ORL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-PHX,USA-AUT
USA-NYM,USA-SLT
USA-BOS
USA-CRS,USA-CTN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-ATL
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-DAL
USA-MIW,USA-NEO,USA-BIR,USA-RON,USA-NAS
USA-CHI
