USA-PHX
USA-HOU,USA-PHI
USA-PIT
USA-DET
USA-ORL
USA-CHI
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-DAL
USA-OKL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-LAX,USA-SAN
USA-BOI,USA-ANC,USA-POR
USA-LIN
USA-BOS
USA-COO,USA-SEA,USA-SAT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-NEO,USA-NYM,USA-SLT
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-ATL
