USA-JAF,USA-ABU,USA-REN
USA-ATL
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-HOU,USA-PHI
USA-ANC
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DET
USA-COO,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-BOS
USA-OKL
USA-ORL
USA-DAL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DEN
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-NEO,USA-NYM,USA-SLT
USA-BOI,USA-BIR
USA-PHX
USA-CHI
USA-LAX,USA-SAN
