USA-ATL
USA-DAL
USA-JAF,USA-KAN,USA-OKL
USA-JCS,USA-LIN
USA-NEO,USA-NYM,USA-SLT
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-BOS
USA-HON,USA-IOW,USA-ANC
USA-HOU,USA-PHI
USA-LAX,USA-SAN
USA-BOI
USA-ORL
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-PHX
USA-COO,USA-SEA,USA-POR
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-CHI
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DET
USA-DEN
