USA-POR
USA-PHX
USA-DAL
USA-CHI
USA-BOS
USA-ATL
USA-OKL
USA-COO,USA-SEA,USA-SAT
USA-ORL
USA-DET
USA-JAF,USA-MAW,USA-DES,USA-REN,USA-LIT,USA-LEK
USA-BOI,USA-ANC
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-MIN,USA-PIT
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-TLS,USA-KAN,USA-ABU,USA-VIR,USA-OMA,USA-RON
USA-HOU,USA-PHI
USA-SFO,USA-DEN,USA-WAS
USA-MIW,USA-NEO,USA-BIR
USA-NYM,USA-SLT
