USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-BOS
USA-PHX
USA-ABU,USA-REN
USA-POR,USA-SAN
USA-NEO,USA-NYM,USA-SLT
USA-CHI
USA-BOI,USA-ANC
USA-HOU,USA-PHI
USA-ATL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-ORL
USA-JCS,USA-RAL,USA-VIR
USA-SEA,USA-SAT,USA-LAX
USA-DAL
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-COO
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DET
USA-HON,USA-IOW,USA-LIN
USA-DEN
