USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-DAL
USA-SEA,USA-SAT,USA-LAX
USA-LIN
USA-NYM
USA-PHI
USA-ATL
USA-CHI
USA-SFO,USA-MIN,USA-KAN,USA-POR
USA-BOI,USA-BIR
USA-DET
USA-COO,USA-OKL
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA
USA-BOS
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-PHX
USA-HOU,USA-SAN
USA-DEN
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ORL
USA-PIT,USA-WAS,USA-SLT
