USA-BOS
USA-LAX,USA-SAN
USA-DEN
USA-CRS,USA-CTN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-COO,USA-SEA,USA-SAT
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-WAS,USA-SLT
USA-BOI,USA-ANC,USA-POR
USA-CHI
USA-MIW,USA-NEO,USA-OKL,USA-BIR
USA-AUT,USA-RAL,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-DET
USA-ORL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-PIT
USA-NYM
USA-ATL
USA-PHX
USA-DAL
USA-SFO,USA-MIN,USA-KAN
