USA-COO,USA-SEA,USA-SAT
USA-ORL
USA-JCS,USA-IOW,USA-RAL,USA-OMA
USA-PHX
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-BIR,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-MIW,USA-NEO,USA-OKL
USA-HON,USA-BOI,USA-ANC
USA-POR
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-LIN
USA-CRS,USA-CTN
USA-PIT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-DET,USA-BOS
USA-JAF,USA-KAN
USA-DEN
USA-CHI
USA-AUT,USA-CUO,USA-CLE,USA-NAS
USA-DAL
USA-HOU,USA-PHI
USA-LAX,USA-SAN
USA-ATL
