USA-DET,USA-BOS
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-HOU,USA-SAN
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-LIT,USA-RON,USA-LEK
USA-PHI
USA-BOI,USA-BIR
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-SFO,USA-DEN,USA-WAS
USA-CHI
USA-SEA,USA-LAX,USA-POR
USA-COO
USA-DAL
USA-NEO,USA-NYM,USA-SLT
USA-ORL
USA-PHX
USA-LIN
USA-MIN,USA-PIT
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-ATL
USA-JAF,USA-KAN,USA-OKL
