USA-JCS,USA-CRS,USA-RAL
USA-DEN
USA-PHX
USA-CHI
USA-STL,USA-CIN,USA-TPA,USA-ORL
USA-DAL
USA-ATL
USA-PIT
USA-SEA,USA-SAT
USA-HON,USA-IOW,USA-ANC
USA-JAF,USA-TLS,USA-KAN,USA-DES,USA-OMA
USA-NEO,USA-BIR,USA-SLT
USA-COO
USA-BOI,USA-POR
USA-LAX,USA-SAN
USA-MAW,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-AUT,USA-CTN,USA-CUO,USA-CLE,USA-NAS
USA-MIW,USA-IDO,USA-OKL
USA-LIN
USA-HOU,USA-PHI
USA-DET,USA-BOS
USA-SFO,USA-MIN,USA-WAS,USA-NYM
