USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-DEN
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-BOS
USA-NEO,USA-OKL,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DET
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOI,USA-ANC
USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-NYM
USA-PHX
USA-COO,USA-SEA,USA-POR
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-HOU,USA-PHI
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-PIT
USA-DAL
USA-ORL
USA-LAX,USA-SAN
USA-CHI
