USA-PHX
USA-MIN
USA-DEN
USA-DAL
USA-ORL
USA-HON,USA-IOW,USA-ANC
USA-JCS,USA-LIN
USA-NEO,USA-NYM,USA-SLT
USA-HOU,USA-PHI
USA-PIT
USA-SFO,USA-WAS,USA-DET
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-LAX,USA-SAN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOS
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-COO,USA-SEA,USA-POR
USA-BOI,USA-BIR
USA-ATL
USA-CHI
USA-STL,USA-RAL,USA-CUO,USA-CLE
