USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-PHX
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-PIT
USA-ATL
USA-BOI,USA-ANC
USA-NYM
USA-CHI
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA,USA-BIR
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-DEN,USA-WAS,USA-SLT
USA-COO
USA-DAL
USA-OKL
USA-MIN
USA-BOS
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-HOU,USA-PHI
USA-SFO,USA-POR,USA-SAN
USA-DET
USA-SEA,USA-SAT,USA-LAX
USA-ORL
