USA-NEO,USA-NYM,USA-SLT
USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-AUT,USA-CUO,USA-CLE,USA-NAS
USA-ORL
USA-HOU,USA-PHI,USA-ATL
USA-DEN
USA-JAF,USA-DES,USA-LEK
USA-COO,USA-SEA,USA-POR
USA-DET
USA-BOS
USA-CRS,USA-CTN
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOI,USA-BIR
USA-LIN
USA-DAL
USA-KAN,USA-STL,USA-OMA
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-CHI
USA-PHX
USA-OKL
