USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-ATL
USA-LAX,USA-SAN
USA-CHI
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-HOU,USA-WAS,USA-PHI,USA-SLT
USA-COO
USA-PHX,USA-AUT
USA-SFO,USA-MIN,USA-SEA,USA-POR
USA-ORL
USA-BOI,USA-ANC
USA-MIW,USA-NEO,USA-RON,USA-NAS
USA-NYM,USA-DET
USA-DEN
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOS
USA-PIT
USA-DAL
USA-JAF,USA-KAN,USA-OKL
USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-CRS,USA-CTN
