USA-SEA,USA-SAT,USA-LAX
USA-COO,USA-OKL
USA-BOI,USA-BIR
USA-JAF,USA-DES,USA-LEK
USA-DEN
USA-HOU,USA-PHI
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-BOS
USA-CHI
USA-PIT
USA-ATL
USA-LIN
USA-ORL
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-DET
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-PHX
USA-MIW,USA-NEO,USA-CIN,USA-IDO,USA-TPA
USA-POR,USA-SAN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-DAL
