USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-CHI
USA-BOI,USA-BIR
USA-SFO,USA-KAN,USA-OKL
USA-MIW,USA-NEO,USA-RON,USA-NAS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-COO
USA-HON,USA-IOW,USA-SEA,USA-POR
USA-JCS,USA-LIN
USA-LAX,USA-SAN
USA-ORL
USA-HOU,USA-PHI
USA-CRS,USA-CTN
USA-DET,USA-BOS
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-ANC
USA-PHX,USA-AUT
USA-DAL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-DEN
USA-ATL
