USA-ATL
USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-DET
USA-DEN,USA-WAS,USA-SAT,USA-SLT
USA-COO
USA-MIW,USA-NEO,USA-OKL
USA-DAL
USA-HOU,USA-PHI
USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-PHX
USA-MIN
USA-BOI,USA-ANC
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-SFO,USA-KAN,USA-SEA,USA-POR
USA-ORL
USA-NYM
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-CHI
USA-BOS
USA-PIT
