USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-LIN
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-DAL
USA-DET
USA-HOU,USA-PHI
USA-BOS
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-LIT,USA-RON,USA-LEK
USA-NEO,USA-SLT
USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-COO
USA-PHX
USA-BOI,USA-BIR
USA-NYM
USA-SFO,USA-DEN,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-CUO,USA-CLE,USA-NAS
USA-ORL
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-MIN,USA-PIT
USA-CHI
USA-ATL
