USA-COO,USA-SEA,USA-POR
USA-NEO,USA-OKL,USA-SLT
USA-NYM
USA-PHX
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-ATL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-ORL
USA-PIT
USA-HON,USA-BOI,USA-ANC
USA-DET
USA-JCS,USA-IOW,USA-TLS,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIN
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-ABU,USA-LAX
USA-BOS
USA-MIW,USA-JAF,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-HOU,USA-SAN
USA-DAL
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-CHI
USA-DEN
USA-PHI
