USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-COO,USA-SEA,USA-SAT
USA-HON,USA-IOW,USA-LIN
USA-NEO,USA-NYM,USA-SLT
USA-HOU,USA-PHI
USA-DEN
USA-ORL
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-BOS
USA-CUO,USA-CLE
USA-ATL
USA-JAF,USA-KAN,USA-OKL
USA-DET
USA-LAX,USA-SAN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-PHX
USA-DAL
USA-JCS,USA-RAL
USA-CHI
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-BOI,USA-ANC,USA-POR
