USA-PIT
USA-BOI,USA-BIR
USA-MIW,USA-SAT,USA-IDO,USA-OKL
USA-NYM
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-JCS,USA-ANC,USA-RAL,USA-VIR
USA-ORL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-OMA,USA-LIT,USA-LEK
USA-DAL
USA-HOU,USA-PHI
USA-SEA,USA-LAX,USA-POR,USA-SAN
USA-DEN
USA-DET
USA-CHI
USA-NEO,USA-SLT
USA-PHX
USA-STL,USA-CIN,USA-TPA,USA-CUO,USA-CLE
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-COO
USA-BOS
USA-HON,USA-IOW,USA-LIN
USA-ATL
