USA-ORL
USA-HOU,USA-PHI
USA-PIT
USA-COO,USA-SEA,USA-POR
USA-DEN
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-OKL,USA-BIR,USA-LEK
USA-DET
USA-PHX,USA-AUT
USA-NEO,USA-NYM,USA-SLT
USA-ATL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-JCS,USA-RAL
USA-LAX,USA-SAN
USA-CHI
USA-SFO,USA-MIN,USA-WAS
USA-HON,USA-IOW,USA-LIN
USA-BOS
USA-KAN,USA-STL,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-BOI,USA-ANC
USA-CRS,USA-CTN
USA-DAL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
