USA-BOI,USA-BIR
USA-OKL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-LAX,USA-SAN
USA-DEN
USA-PIT
USA-ORL
USA-DET
USA-ANC
USA-LIN
USA-MIW,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-COO,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-NEO,USA-HOU,USA-WAS,USA-PHI,USA-SLT
USA-CHI
USA-ATL
USA-BOS
USA-PHX
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-SFO,USA-JAF,USA-MIN,USA-KAN,USA-NYM
USA-DAL
