USA-COO
USA-DEN,USA-WAS,USA-SAT,USA-SLT
USA-LAX,USA-SAN
USA-DAL
USA-ORL
USA-MIW,USA-NEO,USA-OKL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-JAF,USA-KAN,USA-NYM
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-PHX
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PIT
USA-BOI
USA-SFO,USA-MIN,USA-SEA,USA-POR
USA-BOS
USA-HOU,USA-PHI
USA-CHI
USA-ATL
USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-ANC
USA-DET
