USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DAL
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-COO
USA-BOI,USA-BIR
USA-ATL
USA-ORL
USA-DET
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-CHI
USA-ANC
USA-NEO,USA-NYM,USA-SLT
USA-PHX
USA-RAL,USA-CUO,USA-CLE
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-DEN
USA-SFO,USA-KAN,USA-POR
USA-JAF,USA-OKL,USA-OMA,USA-SAN
USA-SEA,USA-SAT,USA-LAX
USA-MIN,USA-PIT,USA-WAS
USA-BOS
