USA-DEN
USA-JAF,USA-KAN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-ATL
USA-HOU,USA-PHI
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DET
USA-CHI
USA-DAL
USA-OKL
USA-NEO,USA-NYM,USA-SLT
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-SEA,USA-SAT
USA-ORL
USA-PHX
USA-BOI,USA-BIR
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-JCS,USA-LIN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-COO
USA-BOS
