USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CIN,USA-IDO,USA-TPA
USA-BOS
USA-HOU,USA-PHI
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-NEO,USA-SLT
USA-DET
USA-SEA,USA-SAT,USA-OKL
USA-DAL
USA-NYM
USA-CHI
USA-ORL
USA-DEN
USA-ATL
USA-BOI,USA-ANC,USA-POR
USA-COO
USA-PHX
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-NAS
