USA-COO
USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-ATL
USA-DEN
USA-LIN
USA-SEA,USA-SAT,USA-LAX
USA-DET,USA-BOS
USA-MIW,USA-NEO,USA-BIR
USA-MIN
USA-BOI,USA-ANC
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-CRS,USA-CTN,USA-NAS
USA-PIT
USA-DAL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-CHI
USA-ORL
USA-CUO,USA-CLE
USA-HOU,USA-PHX,USA-AUT,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-SFO,USA-POR
