USA-PHX,USA-AUT
USA-LAX,USA-SAN
USA-CHI
USA-CRS,USA-CTN,USA-BIR,USA-NAS
USA-ATL
USA-NYM,USA-SLT
USA-PIT
USA-JAF,USA-KAN
USA-LIN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-HOU,USA-PHI
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-SEA,USA-SAT
USA-COO
USA-ORL
USA-DEN
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-MIW,USA-NEO,USA-IDO,USA-OKL
USA-SFO,USA-MIN,USA-WAS,USA-CIN,USA-TPA
USA-DET,USA-BOS
USA-BOI,USA-ANC,USA-POR
