USA-PHX
USA-MIW,USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-LAX,USA-SAN
USA-MIN
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-NEO
USA-SFO,USA-KAN,USA-OKL
USA-RAL,USA-CUO,USA-CLE
USA-ANC,USA-POR
USA-ATL
USA-HOU,USA-PHI
USA-DAL
USA-PIT
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CHI
USA-ORL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-DET
USA-WAS,USA-NYM,USA-SLT
USA-BOI,USA-BIR
USA-BOS
