USA-PHX
USA-BOS
USA-DEN
USA-DAL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-DET
USA-COO,USA-SEA,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-HOU,USA-PHI
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-MIW,USA-NEO,USA-OKL
USA-NYM,USA-SLT
USA-ATL
USA-ORL
USA-LAX,USA-SAN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-BOI,USA-ANC
USA-PIT
USA-CHI
USA-STL,USA-RAL,USA-CUO,USA-CLE
