USA-LAX,USA-SAN
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-ORL
USA-SAT,USA-SLT
USA-LIN
USA-HOU,USA-PHI
USA-ABU,USA-REN
USA-MIN,USA-PIT
USA-CHI
USA-JCS,USA-IOW,USA-ANC,USA-RAL,USA-VIR
USA-COO,USA-SEA,USA-POR
USA-NEO,USA-ATL
USA-HON,USA-BOI
USA-DET
USA-NYM
USA-PHX
USA-DAL
USA-BOS
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-SFO,USA-DEN,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-CUO,USA-CLE,USA-NAS
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-BIR,USA-LIT,USA-RON,USA-LEK
