USA-BOS
USA-ATL
USA-PHX
USA-CIN,USA-IDO,USA-TPA
USA-PIT,USA-WAS,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-PHI
USA-DAL
USA-JCS,USA-LIN
USA-MIW,USA-NEO,USA-OKL
USA-SFO,USA-MIN,USA-KAN
USA-ABU,USA-LAX
USA-DET
USA-DEN,USA-COO,USA-SEA,USA-SAT
USA-NYM
USA-CHI
USA-BOI,USA-BIR
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-HON,USA-IOW,USA-ANC,USA-POR
USA-JAF,USA-MAW,USA-TLS,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-ORL
USA-HOU,USA-SAN
