USA-CHI
USA-ATL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DEN
USA-BOI,USA-ANC
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DET
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-OKL
USA-HOU,USA-SAN
USA-PIT
USA-BOS
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-PHI
USA-PHX
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-COO,USA-SEA,USA-POR
USA-STL,USA-RAL,USA-LAX,USA-CUO,USA-CLE
USA-ORL
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-NEO,USA-NYM,USA-SLT
USA-DAL
