USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-LIN
USA-DEN
USA-DAL
USA-CHI
USA-BOI,USA-BIR
USA-PIT
USA-JAF,USA-KAN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-PHX
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-LIT,USA-RON,USA-LEK
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-NEO,USA-HOU,USA-PHI,USA-ATL
USA-LAX,USA-SAN
USA-OKL
USA-BOS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-COO,USA-SEA,USA-POR
USA-DET
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-ORL
