USA-MIW,USA-NEO,USA-OKL
USA-CHI
USA-LIN
USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-DEN
USA-DAL
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-LEK
USA-HOU,USA-PHI
USA-BOI,USA-BIR
USA-KAN,USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-SEA,USA-POR
USA-PHX
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ORL
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-LAX,USA-SAN
USA-BOS
USA-DET
USA-COO
USA-PIT
