USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-NEO,USA-NYM,USA-SLT
USA-SFO,USA-KAN,USA-POR
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-ORL
USA-DEN
USA-CHI
USA-SEA,USA-SAT,USA-LAX
USA-BOI,USA-BIR
USA-HOU,USA-PHI,USA-SAN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-OKL
USA-COO
USA-MIW,USA-MAW,USA-OMA,USA-LIT,USA-RON
USA-PHX
USA-DET
USA-MIN,USA-PIT,USA-WAS
USA-ATL
USA-BOS
USA-DAL
USA-JAF,USA-TLS,USA-DES,USA-LEK
