USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-MIN,USA-PIT
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR
USA-BOI,USA-ANC,USA-POR
USA-NEO,USA-NYM,USA-SLT
USA-PHI
USA-SEA,USA-SAT,USA-LAX
USA-MIW,USA-MAW,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-DET
USA-ORL
USA-COO
USA-BOS
USA-ATL
USA-HOU,USA-SAN
USA-SFO,USA-DEN,USA-WAS
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-CHI
USA-PHX
USA-RAL,USA-CUO,USA-CLE
