USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-PHX
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-ORL
USA-HOU,USA-PHI
USA-DEN
USA-NEO,USA-NYM,USA-SLT
USA-BOS
USA-BOI,USA-BIR
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-CRS,USA-CTN
USA-AUT,USA-CUO,USA-CLE,USA-NAS
USA-LIN
USA-DET
USA-DAL
USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-COO,USA-SEA,USA-POR
USA-LAX,USA-SAN
USA-CHI
USA-KAN,USA-STL,USA-OMA
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-OKL,USA-LEK
