USA-PHX
USA-AUT,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-TLS,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-BOI,USA-ANC,USA-POR
USA-DET,USA-BOS
USA-LIN
USA-ATL
USA-CHI
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-CRS,USA-CTN
USA-ABU,USA-LAX
USA-NEO,USA-NYM,USA-SLT
USA-DAL
USA-DEN
USA-PHI
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-ORL
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-HOU,USA-SAN
USA-PIT
