USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-JAF,USA-KAN
USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-CHI
USA-POR
USA-PHX
USA-DAL
USA-HOU,USA-PHI
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-BOI,USA-ANC
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-ORL
USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-PIT
USA-MIW,USA-NEO,USA-OKL
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-COO,USA-SEA,USA-SAT
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-DET,USA-BOS
USA-DEN
USA-ATL
USA-LIN
