USA-DEN
USA-BOS
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-HOU,USA-PHI
USA-NEO,USA-NYM,USA-SLT
USA-DAL
USA-ATL
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-DET
USA-PHX
USA-LAX,USA-SAN
USA-MIW,USA-MAW,USA-TLS,USA-DES,USA-LIT,USA-RON,USA-LEK
USA-ANC,USA-ABU,USA-REN,USA-VIR
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-PIT
USA-BOI,USA-BIR
USA-CHI
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-COO,USA-SEA,USA-POR
USA-ORL
USA-SFO,USA-MIN,USA-WAS
