USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-PIT
USA-JAF,USA-KAN,USA-OKL
USA-BOI,USA-ANC,USA-POR
USA-SFO,USA-MIN,USA-WAS
USA-ATL
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-PHX
USA-DET,USA-BOS
USA-DAL
USA-LAX,USA-SAN
USA-COO
USA-SEA,USA-SAT
USA-ORL
USA-NEO,USA-NYM,USA-SLT
USA-LIN
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-HOU,USA-PHI
USA-CHI
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
