USA-DET
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-PHX
USA-CRS,USA-CTN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-NEO,USA-NYM,USA-SLT
USA-HOU,USA-PHI
USA-AUT,USA-CUO,USA-CLE,USA-NAS
USA-LIN
USA-POR,USA-SAN
USA-COO
USA-MIW,USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-DEN
USA-CHI
USA-BOS
USA-BOI,USA-BIR
USA-DAL
USA-ATL
USA-ORL
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-SEA,USA-SAT,USA-LAX
