USA-NEO,USA-NYM,USA-SLT
USA-DET
USA-COO
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-LAX,USA-SAN
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-DEN
USA-BOI,USA-ANC,USA-POR
USA-DAL
USA-BOS
USA-CHI
USA-SEA,USA-SAT
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-LIN
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-HOU,USA-PHI
USA-ATL
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ORL
USA-JAF,USA-KAN,USA-OKL
USA-PHX
