USA-BOI,USA-BIR
USA-JCS,USA-ANC,USA-RAL,USA-VIR
USA-COO,USA-SEA,USA-SAT
USA-DAL
USA-CHI
USA-DEN
USA-HOU,USA-PHI
USA-MIW,USA-NEO,USA-RON,USA-NAS
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-DET
USA-ATL
USA-POR
USA-LAX,USA-SAN
USA-ORL
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-LIT,USA-LEK
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-BOS
USA-CRS,USA-CTN
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PIT
USA-PHX,USA-AUT
USA-HON,USA-IOW,USA-LIN
