USA-ORL
USA-BOS
USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LIT,USA-RON,USA-LEK
USA-JCS,USA-REN,USA-RAL,USA-VIR
USA-CHI
USA-DAL
USA-BOI,USA-POR
USA-JAF,USA-TLS,USA-ABU,USA-OKL,USA-OMA
USA-PIT
USA-COO,USA-SEA,USA-SAT
USA-PHX
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-HOU,USA-PHI
USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-DET
USA-NEO,USA-NYM,USA-SLT
USA-ATL
USA-LIN
USA-HON,USA-IOW,USA-ANC
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-SFO,USA-MIN,USA-KAN,USA-WAS
