USA-HON,USA-IOW,USA-ANC,USA-POR
USA-LAX,USA-SAN
USA-ATL
USA-CHI
USA-JAF,USA-DES,USA-LEK
USA-DAL
USA-BOS
USA-OKL
USA-PIT
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-ORL
USA-JCS,USA-MIW,USA-RAL,USA-OMA
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-NEO,USA-HOU,USA-PHI,USA-SLT
USA-COO,USA-SEA,USA-SAT
USA-DEN
USA-LIN
USA-MAW,USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-NYM,USA-DET
USA-BOI,USA-BIR
USA-PHX
