USA-JCS,USA-RAL,USA-VIR
USA-HOU,USA-PHI
USA-PHX
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-OMA,USA-LIT,USA-LEK
USA-AUT,USA-STL,USA-CUO,USA-CLE,USA-RON,USA-NAS
USA-DEN
USA-LIN
USA-BOS
USA-CRS,USA-CTN
USA-CHI
USA-ATL
USA-BOI,USA-BIR
USA-DAL
USA-LAX,USA-SAN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-DET
USA-ORL
USA-MIW,USA-NEO,USA-OKL
USA-SFO,USA-KAN,USA-SEA,USA-POR
USA-HON,USA-IOW,USA-ANC
USA-MIN,USA-PIT,USA-WAS,USA-NYM,USA-SLT
USA-COO
