USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-STL,USA-OMA,USA-CUO,USA-CLE
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-HOU,USA-PHI
USA-DEN
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-COO,USA-SEA,USA-POR
USA-DAL
USA-SFO,USA-MIN,USA-WAS,USA-NYM,USA-SLT
USA-BOI,USA-ANC
USA-LIN
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-LIT,USA-RON,USA-LEK
USA-ORL
USA-ATL
USA-LAX,USA-SAN
USA-JAF,USA-KAN,USA-OKL
USA-PHX
USA-MIW,USA-NEO,USA-BIR
USA-DET
USA-CHI
USA-BOS
USA-PIT
