USA-BOS
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DET
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-SEA,USA-SAT,USA-LAX
USA-NYM,USA-SLT
USA-POR,USA-SAN
USA-LIN
USA-BOI,USA-BIR
USA-JCS,USA-HON,USA-IOW,USA-ANC,USA-RAL
USA-DEN
USA-PIT
USA-PHX
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-DAL
USA-ATL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-COO
USA-MIW,USA-NEO,USA-OKL
USA-CHI
USA-ORL
USA-HOU,USA-PHI
