USA-ANC
USA-MIW,USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-LAX,USA-SAN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-BOS
USA-ATL
USA-NYM
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-CHI
USA-JAF,USA-KAN
USA-OKL
USA-HOU,USA-PHI
USA-CRS,USA-AUT,USA-CTN,USA-RAL,USA-CUO,USA-CLE,USA-NAS
USA-BOI,USA-BIR
USA-ORL
USA-COO,USA-SEA,USA-POR
USA-PHX
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-NEO,USA-SLT
USA-DAL
USA-DEN
USA-DET
