USA-BOS
USA-OKL
USA-LAX,USA-SAN
USA-PHX
USA-BOI,USA-BIR
USA-ATL
USA-CHI
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-SFO,USA-MIN,USA-PIT,USA-KAN,USA-WAS
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JCS,USA-LIN
USA-NEO,USA-NYM,USA-SLT
USA-DEN
USA-COO,USA-SEA,USA-POR
USA-DAL
USA-STL,USA-RAL,USA-OMA,USA-CUO,USA-CLE
USA-HOU,USA-PHI
USA-HON,USA-IOW,USA-ANC
USA-ORL
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-DET
