USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-PHX
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-PIT
USA-LAX,USA-SAN
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-OKL
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-BOS
USA-COO,USA-SEA,USA-POR
USA-NEO,USA-NYM,USA-SLT
USA-ORL
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-ATL
USA-CHI
USA-DEN
USA-DAL
USA-HOU,USA-PHI
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-BOI,USA-ANC
USA-DET
