USA-HOU,USA-SAN
USA-PHX,USA-AUT
USA-DEN
USA-PIT
USA-LIN
USA-DET
USA-TLS,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-BOI,USA-ANC,USA-POR
USA-SFO,USA-MIN,USA-KAN
USA-CRS,USA-CTN
USA-WAS,USA-NYM,USA-PHI,USA-SLT
USA-ATL
USA-DAL
USA-JAF,USA-MAW,USA-DES,USA-LEK
USA-ORL
USA-COO,USA-SEA,USA-SAT,USA-OKL
USA-STL,USA-CIN,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-CHI
USA-MIW,USA-NEO,USA-BIR,USA-RON,USA-NAS
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-ABU,USA-LAX
USA-BOS
