USA-DET
USA-BOI,USA-BIR
USA-RAL,USA-LAX,USA-CUO,USA-CLE,USA-SAN
USA-DEN
USA-ORL
USA-HOU,USA-PHI
USA-PHX
USA-COO,USA-SEA,USA-POR
USA-CHI
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON,USA-LEK
USA-MIW,USA-NEO,USA-OKL
USA-ATL
USA-SFO,USA-MIN,USA-WAS,USA-NYM
USA-CRS,USA-AUT,USA-CTN,USA-NAS
USA-JAF,USA-KAN
USA-BOS
USA-SAT,USA-SLT
USA-PIT
USA-JCS,USA-LIN
USA-DAL
USA-HON,USA-IOW,USA-ANC
