USA-PHX
USA-OKL
USA-STL,USA-CIN,USA-IDO,USA-TPA
USA-JCS,USA-CRS,USA-RAL
USA-DAL
USA-LIN
USA-BOS
USA-DEN
USA-BOI,USA-POR
USA-PIT
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-LAX,USA-SAN
USA-ORL
USA-NEO,USA-HOU,USA-PHI,USA-SLT
USA-COO,USA-SEA,USA-SAT
USA-HON,USA-IOW,USA-ANC
USA-NYM,USA-DET
USA-CHI
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-RON
USA-AUT,USA-CTN,USA-CUO,USA-CLE,USA-NAS
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-ATL
