USA-MIW,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-DEN
USA-BOS
USA-NEO,USA-NYM,USA-SLT
USA-DET
USA-HOU,USA-PHI,USA-ATL
USA-LAX,USA-SAN
USA-JCS,USA-HON,USA-IOW,USA-LIN
USA-SFO,USA-MIN,USA-PIT,USA-WAS
USA-COO
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-LIT,USA-RON
USA-STL,USA-RAL,USA-CUO,USA-CLE
USA-DAL
USA-CHI
USA-BOI
USA-ANC
USA-CIN,USA-SAT,USA-IDO,USA-TPA
USA-PHX
USA-ORL
USA-JAF,USA-KAN,USA-OKL,USA-OMA
USA-SEA,USA-POR
USA-CRS,USA-AUT,USA-CTN,USA-NAS
