USA-LAX,USA-SAN
USA-BOS
USA-MIW,USA-JAF,USA-MAW,USA-DES,USA-BIR,USA-LEK
USA-ATL
USA-HOU,USA-PHI
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-DEN
USA-PIT
USA-PHX
USA-TLS,USA-ABU,USA-REN,USA-VIR,USA-OMA,USA-LIT
USA-DAL
USA-JCS,USA-HON,USA-IOW,USA-RAL,USA-LIN
USA-CRS,USA-AUT,USA-CTN,USA-RON,USA-NAS
USA-NEO,USA-NYM,USA-SLT
USA-COO
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-OKL
USA-DET
USA-SEA,USA-POR
USA-BOI,USA-ANC
USA-ORL
USA-CHI
