USA-NYM,USA-SLT
USA-CRS,USA-CTN
USA-MIW,USA-NEO,USA-BIR,USA-RON,USA-NAS
USA-DEN
USA-JCS,USA-HON,USA-IOW,USA-RAL
USA-BOI,USA-ANC
USA-ATL
USA-PIT
USA-STL,USA-CIN,USA-SAT,USA-IDO,USA-TPA,USA-CUO,USA-CLE
USA-PHX,USA-AUT
USA-HOU,USA-PHI
USA-JAF,USA-MAW,USA-TLS,USA-ABU,USA-DES,USA-REN,USA-VIR,USA-OMA,USA-LIT,USA-LEK
USA-DAL
USA-ORL
USA-LAX,USA-SAN
USA-LIN
USA-OKL
USA-BOS
USA-DET
USA-SFO,USA-MIN,USA-KAN,USA-WAS
USA-CHI
USA-COO,USA-SEA,USA-POR
